id,model,regular,incremental
0,GlobalAnchors,0.4445064185518262,0.48343878343878344
1,ProcrustesAligner,0.5457709444551551,0.4567895067895067
2,KendallTau,0.323988556043117,0.32568343682206774
3,Jaccard,0.38330079506550097,0.27888804135943723
4,united,0.5074358046494268,0.49646649646649643
