,model,regular,incremental
0,GlobalAnchors,0.6753914834559995,0.5982890566698283
1,ProcrustesAligner,0.767049061347307,0.6808156724823391
2,KendallTau,0.5046841043441297,0.47473545456230465
3,Jaccard,0.6465094491087783,0.5658330581599084
4,united,0.7223064684106997,0.6167811854086365
