id,model,regular,incremental
0,GlobalAnchors,0.35897579737478225,0.35437460208091315
1,ProcrustedAligner,0.41417107993669017,0.35645279585181755
2,KendallTau,0.3144389903649163,0.2933309477783871
3,Jaccard,0.2866566295986282,0.28840771367528517
4,united,0.42875506611460773,0.399482690477881
