,WORD,frequency,mean_dist_jaccard,sum_deltas_jaccard,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,parallell_ADJ,6.114877176405555e-05,0.7247757402556163,0.3333333333333333,0.2972904369235039,0.3333333333333333,0.3196588158607483,0.3333333333333333
1,psykiatrisk_ADJ,8.486973588832535e-05,0.8986068111455108,0.0,0.4445055052638054,0.3333333333333333,0.4197823405265808,-0.3333333333333333
2,kvalitativ_ADJ,3.523470551770626e-05,0.7546992481203008,0.3333333333333333,0.2818467319011688,1.0,0.37901173532009125,1.0
3,vere_ADJ,5.651085049536142e-05,0.7309891905480141,0.0,0.2831984907388687,1.0,0.2543666660785675,0.3333333333333333
4,etablert_ADJ,6.064965592611723e-05,0.4558823529411765,-0.3333333333333333,0.29591265320777893,-0.3333333333333333,0.3600691705942154,1.0
5,sort_ADJ,9.765679595258554e-06,0.8687865497076023,0.3333333333333333,0.16589166224002838,1.0,0.31647373735904694,-0.3333333333333333
6,vedta_ADJ,4.031953463267848e-05,0.7029061624649859,0.6666666666666666,0.30257557332515717,1.0,0.3416636884212494,0.3333333333333333
7,lle_ADJ,3.3365005890540093e-05,0.8524466804265566,0.0,0.1458454132080078,0.3333333333333333,0.2519431710243225,0.3333333333333333
8,langsiktig_ADJ,0.00014432508961443328,0.6679639804639805,0.3333333333333333,0.26896654069423676,1.0,0.33094270527362823,-0.3333333333333333
9,massiv_ADJ,1.0037584493437329e-05,0.8284313725490196,0.3333333333333333,0.2742847055196762,0.3333333333333333,0.35820285975933075,0.3333333333333333
10,kvinnelig_ADJ,4.657100494798012e-05,0.7063933873144399,0.0,0.3911496475338936,0.3333333333333333,0.41243264079093933,0.3333333333333333
11,tape_ADJ,3.426204304293224e-05,0.6984126984126984,0.0,0.2800194025039673,0.3333333333333333,0.3111472427845001,-0.3333333333333333
12,ig_ADJ,2.618320598866079e-05,0.7897267206477734,0.3333333333333333,0.26341280341148376,0.3333333333333333,0.3867420256137848,0.3333333333333333
13,organisatorisk_ADJ,8.891440205974736e-05,0.647130647130647,0.0,0.2954886630177498,0.3333333333333333,0.31318093836307526,0.3333333333333333
14,fort_ADJ,2.932519435123701e-05,0.6754336349924586,0.0,0.28912724554538727,0.3333333333333333,0.2802148461341858,0.3333333333333333
15,intern_ADJ,0.00016161924970815134,0.8100490196078431,0.0,0.28865083307027817,0.3333333333333333,0.44673389196395874,0.3333333333333333
16,adskillig_ADJ,1.8950594137304608e-05,0.7192460317460319,0.3333333333333333,0.32119789719581604,1.0,0.3803301900625229,1.0
17,fastsette_ADJ,3.112911223709839e-05,0.5677655677655677,0.0,0.28247108310461044,1.0,0.2743472456932068,0.3333333333333333
18,venstre_ADJ,1.787762495928292e-05,0.7291666666666667,0.0,0.2026505470275879,0.3333333333333333,0.274831160902977,0.3333333333333333
19,nader_ADJ,2.8268780910483353e-05,0.48793363499245856,-0.3333333333333333,0.3077460676431656,0.3333333333333333,0.30845440924167633,1.0
20,formell_ADJ,0.00018783108272005976,0.6507936507936507,0.3333333333333333,0.2523587495088577,0.3333333333333333,0.346388041973114,1.0
21,varm_ADJ,2.4502821099271824e-05,0.8169934640522876,-0.3333333333333333,0.17747332155704498,1.0,0.2760797291994095,1.0
22,noko_ADJ,1.6084783509758396e-05,0.7867647058823529,0.3333333333333333,0.22795933485031128,-0.3333333333333333,0.22597262263298035,0.3333333333333333
23,sa_ADJ,1.4898863444085396e-05,0.7475490196078431,0.3333333333333333,0.25967124104499817,0.3333333333333333,0.2292046695947647,-0.3333333333333333
24,pedagogisk_ADJ,0.0001887350561345591,0.8235294117647058,0.0,0.306691437959671,0.3333333333333333,0.4013358801603317,-0.3333333333333333
25,organisere_ADJ,0.00010538109216908008,0.8214869281045751,0.0,0.2957538515329361,0.3333333333333333,0.37041375041007996,1.0
26,kort_ADJ,0.0004322377955868344,0.34090909090909083,0.0,0.28614363074302673,0.3333333333333333,0.298624187707901,1.0
27,kontinuerlig_ADJ,6.91239824896409e-05,0.5463659147869675,0.0,0.27723167836666107,1.0,0.32912954688072205,-0.3333333333333333
28,le_ADJ,1.80871340477084e-05,0.9590643274853801,0.3333333333333333,0.19803163409233093,0.3333333333333333,0.38546162843704224,1.0
29,sein_ADJ,6.633749208426743e-05,0.5611263736263736,0.0,0.39855198562145233,0.3333333333333333,0.28837738931179047,0.3333333333333333
30,lav_ADJ,0.0008233285071433668,0.5803571428571428,0.6666666666666666,0.20843741297721863,1.0,0.18565060198307037,0.3333333333333333
31,utvide_ADJ,7.805495893614767e-05,0.7261904761904763,0.0,0.2733248248696327,1.0,0.34102989733219147,1.0
32,nevneverdig_ADJ,2.5064370191554646e-05,0.5290750915750917,0.0,0.26298829913139343,1.0,0.26551468670368195,0.3333333333333333
33,flg_ADJ,2.6741645887542913e-05,0.9149466804265566,0.3333333333333333,0.24934515357017517,0.3333333333333333,0.3199997544288635,-0.3333333333333333
34,synlig_ADJ,3.190640916066567e-05,0.875,0.0,0.2123723179101944,1.0,0.3263137638568878,1.0
35,betydningsfull_ADJ,1.680536877414864e-05,0.6917735042735043,-0.3333333333333333,0.3057758957147598,-0.3333333333333333,0.2724917083978653,0.3333333333333333
36,registrere_ADJ,7.775971848302469e-05,0.72843874391862,0.0,0.3021458685398102,0.3333333333333333,0.4358633756637573,1.0
37,sivil_ADJ,0.00015478214681393529,0.7914639540026536,0.0,0.41393791139125824,-0.3333333333333333,0.5720192566514015,-0.3333333333333333
38,finansiell_ADJ,0.00011809082313876676,0.7730816010614772,0.3333333333333333,0.3007885813713074,1.0,0.3908005803823471,1.0
39,regional_ADJ,0.00041765799731926096,0.6104684788895316,0.3333333333333333,0.3351176530122757,-0.3333333333333333,0.41483569890260696,0.3333333333333333
40,vor_ADJ,1.9513368400225616e-05,0.8031045751633987,0.0,0.22958926856517792,0.3333333333333333,0.23386013507843018,0.3333333333333333
41,permanent_ADJ,6.636472462222034e-05,0.7576754385964912,0.3333333333333333,0.3390352204442024,0.3333333333333333,0.3358476012945175,0.3333333333333333
42,svær_ADJ,0.000410483078059871,0.24417249417249418,0.0,0.23944701254367828,1.0,0.23493386805057526,0.3333333333333333
43,elektrisk_ADJ,0.00011954226254669977,0.9149466804265567,0.0,0.30448661744594574,0.3333333333333333,0.38512764871120453,0.3333333333333333
44,særlig_ADJ,0.0012381202799088345,0.612408424908425,0.6666666666666666,0.2294006645679474,0.3333333333333333,0.20609034597873688,1.0
45,inngå_ADJ,4.749668102476934e-05,0.5082417582417582,0.6666666666666666,0.35702110826969147,0.3333333333333333,0.38936804234981537,1.0
46,nevnt_ADJ,0.00012934575769326615,0.387029637029637,-0.3333333333333333,0.23219214379787445,1.0,0.30551619827747345,-0.3333333333333333
47,høg_ADJ,2.3072324480115437e-05,0.5677655677655677,0.6666666666666666,0.336866095662117,0.3333333333333333,0.2697811871767044,0.3333333333333333
48,knytte_ADJ,0.00023575852614973647,0.48793363499245856,0.3333333333333333,0.22946549206972122,1.0,0.26807811856269836,1.0
49,rask_ADJ,0.00022037446264247694,0.48076923076923084,0.0,0.24992896616458893,0.3333333333333333,0.235866516828537,1.0
50,aktuell_ADJ,0.0006095750915098309,0.604978354978355,-0.3333333333333333,0.22038789093494415,0.3333333333333333,0.23423950374126434,0.3333333333333333
51,beskjeden_ADJ,6.193923174038826e-05,0.44507575757575757,0.3333333333333333,0.2556559592485428,0.3333333333333333,0.20509445667266846,-0.3333333333333333
52,bruke_ADJ,2.2722785429742777e-05,0.5637973137973138,0.0,0.3259374499320984,-0.3333333333333333,0.3980771601200104,0.3333333333333333
53,faglig_ADJ,0.00040095647233274676,0.75,-0.3333333333333333,0.2767707407474518,0.3333333333333333,0.31241515278816223,0.3333333333333333
54,spredt_ADJ,2.6982519636912696e-05,0.7914639540026536,0.0,0.26739630103111267,0.3333333333333333,0.35344336926937103,-0.3333333333333333
55,ekstraordinær_ADJ,4.42263046813096e-05,0.7916666666666667,0.0,0.32860368490219116,0.3333333333333333,0.3863803595304489,0.3333333333333333
56,organisk_ADJ,5.810628255066522e-05,0.8524466804265566,0.0,0.2727850377559662,0.3333333333333333,0.37197738885879517,0.3333333333333333
57,ervervsmessig_ADJ,2.250348858687023e-05,0.9149466804265566,0.3333333333333333,0.34177784621715546,0.3333333333333333,0.43344543874263763,0.3333333333333333
58,lukke_ADJ,3.784326540759809e-05,0.6510989010989011,0.0,0.33024832606315613,0.3333333333333333,0.40957413613796234,0.3333333333333333
