,word,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,mean
103,родной_ADJ,0.7459028959274292,0.7749970555305481,0.7872439622879028,0.7766366004943848,0.7849827408790588,0.816994845867157,0.8189554810523987,0.7952373623847961,0.8057172298431396,0.8104925155639648,0.804782509803772,0.8024755716323853,0.8064552545547485,0.7803285717964172,0.7631157338619232
104,свежий_ADJ,0.8484798073768616,0.874577522277832,0.8926951885223389,0.8316470980644226,0.8250485062599182,0.8274382948875427,0.8297156691551208,0.8051854968070984,0.8353197574615479,0.8194113373756409,0.7835057973861694,0.7793976068496704,0.8108193278312683,0.7903826236724854,0.8194312155246735
105,сволочной_ADJ,,,,,,,,,,,,,,,
106,священный_ADJ,0.7719010710716248,0.782067060470581,0.7309223413467407,0.7163047790527344,0.7706926465034485,0.770102322101593,0.7797222137451172,0.7809977531433105,0.7758930921554565,0.7726463675498962,0.7363636493682861,0.7467565536499023,0.789158046245575,0.7854097485542297,0.7786554098129272
107,семейный_ADJ,0.5771294832229614,0.6310762763023376,0.7030601501464844,0.6596319675445557,0.6471747159957886,0.6310998201370239,0.6588774919509888,0.6109988689422607,0.6148573160171509,0.6539173126220703,0.6309694051742554,0.6443123817443848,0.6098278760910034,0.5786997079849243,0.5779145956039429
108,серый_ADJ,0.8721199631690979,0.9093921184539795,0.9170472025871277,0.8273442983627319,0.7449445724487305,0.7121424078941345,0.7521549463272095,0.7703933715820312,0.7706440687179565,0.7577804327011108,0.7636000514030457,0.7402562499046326,0.7785017490386963,0.7479248642921448,0.8100224137306213
109,сильный_ADJ,0.6359951496124268,0.6942506432533264,0.6911179423332214,0.6552577614784241,0.6820021271705627,0.6829690337181091,0.6834245920181274,0.6450597643852234,0.685830295085907,0.6892206072807312,0.6672983169555664,0.671768844127655,0.6907853484153748,0.7094681859016418,0.6727316677570343
110,слабый_ADJ,0.6829979419708252,0.7306638956069946,0.7485877275466919,0.5619902014732361,0.7067041993141174,0.6933682560920715,0.709815502166748,0.671380877494812,0.6914021968841553,0.7032676935195923,0.6643396019935608,0.6806658506393433,0.7022616267204285,0.6853553652763367,0.6841766536235809
111,слащавый_ADJ,,0.9281939268112183,,,,,0.8912544250488281,,,,,,,,
112,смелый_ADJ,0.7782670259475708,0.80901700258255,0.8380300402641296,0.7486969232559204,0.7649496793746948,0.775112509727478,0.7467992305755615,0.7312332391738892,0.7821629047393799,0.7672595381736755,0.7623503804206848,0.7684972882270813,0.7812573909759521,0.7858215570449829,0.7820442914962769
113,соленый_ADJ,0.8859718441963196,0.9301377534866333,0.9330551028251648,0.9189636707305908,0.9238372445106506,0.9226983785629272,0.9150481820106506,0.8824877142906189,0.8840194344520569,0.8782035708427429,0.885242760181427,0.8923550248146057,0.9036630392074585,0.8619065880775452,0.8739392161369324
114,страшный_ADJ,0.7759913802146912,0.799335777759552,0.8313065767288208,0.7901257276535034,0.7911300659179688,0.8402804136276245,0.8441070318222046,0.8190460205078125,0.8105928301811218,0.8236607909202576,0.8211597204208374,0.8174880743026733,0.8378003835678101,0.8032016754150391,0.7895965278148651
