,WORD,frequency,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,школьный_ADJ,9.048587824291636e-05,0.3372494727373123,1.0,0.2733883559703827,1.0
1,привычный_ADJ,9.361578995070072e-05,0.26257137954235077,1.0,0.22436390817165375,0.3333333333333333
2,либеральный_ADJ,2.2568747643039314e-05,0.186904639005661,1.0,0.2532708942890167,0.3333333333333333
3,следственный_ADJ,2.2752080331490132e-05,0.22915776073932648,1.0,0.22843517363071442,1.0
4,верхний_ADJ,0.0001222352572042727,0.1982048898935318,1.0,0.2487584799528122,0.3333333333333333
5,федеральный_ADJ,0.00011945656951713674,0.26626521348953247,1.0,0.33661625534296036,0.3333333333333333
6,уличный_ADJ,2.9031339650849828e-05,0.2328825742006302,1.0,0.26332707703113556,1.0
7,кавказский_ADJ,2.896742189290706e-05,0.24449071288108826,1.0,0.30893711745738983,1.0
8,кривой_ADJ,3.0305114283875568e-05,0.1374884694814682,0.3333333333333333,0.3244282454252243,0.3333333333333333
9,парадный_ADJ,3.0035151586999747e-05,0.1916060894727707,1.0,0.22683535516262054,1.0
10,рекламный_ADJ,3.319769762929806e-05,0.2771984338760376,0.3333333333333333,0.3297942727804184,0.3333333333333333
11,неизменный_ADJ,3.293153823423661e-05,0.2654581516981125,1.0,0.2343572974205017,1.0
12,медный_ADJ,5.096287308866491e-05,0.11368519067764282,1.0,0.29119856655597687,1.0
13,украинский_ADJ,5.1152682514205974e-05,0.2574208974838257,0.3333333333333333,0.2735512852668762,0.3333333333333333
14,языковой_ADJ,2.5742690426552415e-05,0.1675921380519867,1.0,0.23541676998138428,1.0
15,милицейский_ADJ,2.5260638183448194e-05,0.2399163544178009,1.0,0.3019454777240753,1.0
16,инженерный_ADJ,2.5089362904115572e-05,0.19663462042808533,1.0,0.21799145638942719,0.3333333333333333
17,генетический_ADJ,2.4703704038904016e-05,0.19575504958629608,1.0,0.24862714111804962,1.0
18,невероятный_ADJ,6.109305888548216e-05,0.2482941746711731,1.0,0.19475623965263367,-0.3333333333333333
19,поздний_ADJ,6.115097023347044e-05,0.29704272747039795,1.0,0.22510696947574615,1.0
20,существенный_ADJ,7.179796651881604e-05,0.16870535910129547,1.0,0.16041071712970734,1.0
21,небесный_ADJ,6.947412685373275e-05,0.2459029257297516,1.0,0.2984725683927536,0.3333333333333333
22,греческий_ADJ,5.173860244019952e-05,0.21013598144054413,1.0,0.22806385159492493,1.0
23,неведомый_ADJ,5.1784983147633736e-05,0.29086656868457794,1.0,0.2204160839319229,0.3333333333333333
24,желтый_ADJ,0.00013167151269884253,0.09756016731262207,0.3333333333333333,0.23490437865257263,1.0
25,творческий_ADJ,0.0001325627333798898,0.1613374799489975,1.0,0.22552041709423065,1.0
26,водный_ADJ,5.389687204718879e-05,0.19943514466285706,1.0,0.312226802110672,1.0
27,деревенский_ADJ,5.357584328975196e-05,0.2137785702943802,0.3333333333333333,0.2658062130212784,1.0
28,товарный_ADJ,2.3662865676573297e-05,0.2537399232387543,1.0,0.3475078344345093,1.0
29,минувший_ADJ,2.465385620852677e-05,0.27309636771678925,1.0,0.19177721440792084,1.0
30,первый_ADJ,0.002095904290788464,0.26427337527275085,0.3333333333333333,0.12936417758464813,1.0
31,сам_ADJ,0.002562393171377174,0.25153130292892456,0.3333333333333333,0.21910659968852997,1.0
32,второй_ADJ,0.000812786992344618,0.3419296443462372,1.0,0.21024127304553986,1.0
33,советский_ADJ,0.0007240070746913886,0.18209265172481537,1.0,0.21210359036922455,1.0
34,кожаный_ADJ,5.1789362354255394e-05,0.11224447190761566,1.0,0.16244269907474518,1.0
35,скорый_ADJ,5.197513334402938e-05,0.3211936950683594,1.0,0.22379980981349945,1.0
36,земной_ADJ,0.0001363399389813494,0.20829564332962036,1.0,0.3034350126981735,1.0
37,хорошо_ADJ,0.0001434029897651488,0.3159157633781433,1.0,0.21326947212219238,0.3333333333333333
38,боевой_ADJ,0.0001641044923838053,0.2863229066133499,1.0,0.2928548902273178,1.0
39,прежний_ADJ,0.00016191833823250254,0.2970267981290817,1.0,0.20374317467212677,1.0
40,латинский_ADJ,2.891661664491569e-05,0.2341204434633255,1.0,0.25319765508174896,1.0
41,многолетний_ADJ,2.881790130950578e-05,0.24334736168384552,1.0,0.23304149508476257,1.0
42,достаточный_ADJ,9.659627702530845e-05,0.2334752231836319,1.0,0.22760020196437836,1.0
43,южный_ADJ,9.669962380011473e-05,0.21967411041259766,1.0,0.2646375596523285,0.3333333333333333
44,сельский_ADJ,9.3650338014149e-05,0.27618564665317535,1.0,0.2863200008869171,0.3333333333333333
45,характерный_ADJ,9.510194265547898e-05,0.1897244155406952,1.0,0.22577522695064545,0.3333333333333333
46,золотой_ADJ,0.00019865470354193108,0.19611676037311554,1.0,0.3305727541446686,0.3333333333333333
47,экономический_ADJ,0.00019278953194363927,0.18253254890441895,1.0,0.23192483186721802,1.0
48,2-й_ADJ,2.8772482546496537e-05,0.20985053479671478,1.0,0.2101304680109024,1.0
49,кремлевский_ADJ,2.864319346266972e-05,0.26189811527729034,1.0,0.3035157769918442,1.0
50,склонный_ADJ,3.3637928935536555e-05,0.15569806098937988,1.0,0.2135339081287384,1.0
51,легко_ADJ,3.3683064964942127e-05,0.30334891378879547,1.0,0.21624648571014404,1.0
52,принятый_ADJ,3.4562378380881646e-05,0.2592639625072479,0.3333333333333333,0.23620358109474182,0.3333333333333333
53,публичный_ADJ,3.437004928295974e-05,0.21752233803272247,1.0,0.2788906395435333,0.3333333333333333
