,WORD,60-70,70-80,80-90,90-00
0,sane_ADJ,0.24935883283615112,0.3850952982902527,0.3710528612136841,0.3438037037849426
1,large_ADJ,0.16482758522033691,0.21979552507400513,0.2207544445991516,0.2540920376777649
2,available_ADJ,0.1860613226890564,0.20484548807144165,0.21530121564865112,0.22192972898483276
3,inevitable_ADJ,0.26603901386260986,0.29905951023101807,0.24832361936569214,0.2585063576698303
4,southern_ADJ,0.2855147123336792,0.28357791900634766,0.3019891381263733,0.25176453590393066
5,wider_ADJ,0.4658017158508301,0.5190075635910034,0.5164386928081512,0.4282418489456177
6,possible_ADJ,0.20467907190322876,0.24232864379882812,0.2761309742927551,0.26267850399017334
7,temporary_ADJ,0.28411591053009033,0.3221854567527771,0.3055509328842163,0.27039676904678345
8,eventual_ADJ,0.23194944858551025,0.24119412899017334,0.22937756776809692,0.29253363609313965
9,constitutional_ADJ,0.2727351784706116,0.24569815397262573,0.25507450103759766,0.21744805574417114
10,monetary_ADJ,0.23330968618392944,0.23563456535339355,0.30776023864746094,0.2973012328147888
11,hostile_ADJ,0.27149975299835205,0.3093714118003845,0.28214943408966064,0.2970222234725952
12,childish_ADJ,0.24425387382507324,0.2631494402885437,0.3493008613586426,0.3428114652633667
13,precise_ADJ,0.23961812257766724,0.22217273712158203,0.2166035771369934,0.21441346406936646
14,human_ADJ,0.2216252088546753,0.3212350606918335,0.26719820499420166,0.29220670461654663
15,greek_ADJ,0.31851065158843994,0.3025638461112976,0.30250006914138794,0.27355098724365234
16,circular_ADJ,0.20513159036636353,0.17949259281158447,0.20545005798339844,0.20678818225860596
17,black_ADJ,0.24849581718444824,0.32155609130859375,0.40010976791381836,0.3554839491844177
18,operational_ADJ,0.29302978515625,0.2254907488822937,0.32509130239486694,0.3321484327316284
19,unknown_ADJ,0.22229593992233276,0.28515690565109253,0.32335489988327026,0.32111656665802
20,apparent_ADJ,0.24780821800231934,0.23620593547821045,0.26154255867004395,0.2648038864135742
21,fabulous_ADJ,0.4019123911857605,0.4372919201850891,0.40086084604263306,0.37066650390625
22,prone_ADJ,0.48072677850723267,0.3863668441772461,0.31878459453582764,0.28711360692977905
23,skilled_ADJ,0.17392027378082275,0.20684105157852173,0.21937710046768188,0.2437509298324585
24,ready_ADJ,0.2615337371826172,0.26922476291656494,0.27252787351608276,0.3050506114959717
25,dramatic_ADJ,0.2273550033569336,0.2680494785308838,0.2508711814880371,0.2587772011756897
26,ancient_ADJ,0.22380703687667847,0.21888655424118042,0.2819039225578308,0.2879902720451355
