,WORD,60-70,70-80,80-90,90-00
0,best_ADJ,0.21000000000000008,0.74,0.9400000000000002,0.8300000000000001
1,real_ADJ,0.07999999999999999,0.12,0.020000000000000018,0.20999999999999996
2,lonely_ADJ,0.6200000000000001,0.3900000000000001,0.52,0.3500000000000001
3,glad_ADJ,0.54,0.22999999999999998,0.3700000000000001,0.31999999999999984
4,disastrous_ADJ,0.18999999999999995,0.23999999999999977,1.5899999999999999,1.24
5,unbelievable_ADJ,1.07,1.19,1.1400000000000001,0.5800000000000001
6,lucky_ADJ,0.6000000000000001,0.6000000000000001,0.36,0.2600000000000001
7,terrifying_ADJ,0.44000000000000017,0.74,0.3900000000000001,0.33999999999999986
8,lousy_ADJ,0.27,0.3400000000000001,0.8300000000000001,0.53
9,unemployed_ADJ,0.050000000000000044,0.17999999999999994,0.050000000000000044,0.3799999999999999
10,ideal_ADJ,2.39,2.23,0.08999999999999986,0.4999999999999998
11,fond_ADJ,1.3800000000000001,0.09,0.77,0.51
12,angry_ADJ,0.06000000000000005,0.16000000000000014,1.02,1.2999999999999998
13,grateful_ADJ,1.05,0.1399999999999999,0.7799999999999998,0.06999999999999984
14,interesting_ADJ,1.3,0.52,0.9299999999999999,0.6399999999999999
15,whole_ADJ,0.52,0.8499999999999999,0.18999999999999995,0.1399999999999999
16,worse_ADJ,1.18,1.63,0.5700000000000003,2.0300000000000002
17,crazy_ADJ,0.31999999999999984,0.54,0.89,1.02
18,urban_ADJ,0.18999999999999995,0.9500000000000001,1.2799999999999998,1.43
19,anxious_ADJ,0.7799999999999999,0.3699999999999999,1.46,1.8599999999999999
20,damn_ADJ,1.65,1.59,0.12,0.42999999999999994
21,corrupt_ADJ,0.009999999999999787,0.77,0.2899999999999998,0.27
22,rich_ADJ,0.7,0.76,0.37999999999999995,0.03999999999999998
23,eligible_ADJ,0.5499999999999999,1.27,2.27,2.62
24,delicate_ADJ,0.45999999999999996,0.2599999999999998,0.32999999999999985,0.9400000000000002
25,honest_ADJ,0.6099999999999999,0.13000000000000012,0.25,0.4099999999999999
26,sorry_ADJ,0.6799999999999999,0.67,0.31999999999999995,0.1299999999999999
27,afraid_ADJ,0.86,0.88,0.98,1.22
28,puzzled_ADJ,0.16000000000000003,0.47000000000000003,0.51,0.8500000000000001
29,wrong_ADJ,0.21999999999999997,0.21999999999999997,0.65,0.21000000000000002
30,fearful_ADJ,0.8699999999999999,0.039999999999999813,1.3,1.44
31,proud_ADJ,0.11000000000000001,1.27,0.75,0.8400000000000001
32,uneasy_ADJ,0.05999999999999983,0.6699999999999999,0.9299999999999999,0.8699999999999999
33,fair_ADJ,0.3400000000000001,0.20000000000000018,0.1100000000000001,0.010000000000000009
34,mighty_ADJ,0.78,1.13,0.93,0.30000000000000004
35,terrific_ADJ,1.32,0.040000000000000036,0.029999999999999916,1.4700000000000002
36,impatient_ADJ,0.0,0.28,1.45,1.73
37,tragic_ADJ,0.16999999999999993,0.07000000000000028,0.19999999999999973,0.27
38,mild_ADJ,0.1100000000000001,0.71,0.41999999999999993,0.17999999999999994
39,excited_ADJ,0.12000000000000001,0.39,1.1300000000000001,1.08
40,funny_ADJ,0.10999999999999999,0.36,0.58,0.10999999999999999
41,sure_ADJ,0.15999999999999992,0.22999999999999998,0.31000000000000005,0.08999999999999986
42,hopeful_ADJ,0.7899999999999999,0.1399999999999999,0.020000000000000018,0.67
43,goddamned_ADJ,1.17,0.48,0.79,0.0
44,complete_ADJ,0.64,0.7300000000000001,0.25,0.25
45,hard_ADJ,0.0,0.10999999999999999,0.019999999999999962,0.060000000000000026
46,disgusted_ADJ,0.2799999999999999,0.09000000000000008,0.43999999999999995,0.7399999999999999
47,sad_ADJ,0.5099999999999999,0.26,0.09999999999999998,0.41000000000000003
48,nervous_ADJ,0.06000000000000005,0.3899999999999999,0.9900000000000001,0.7500000000000001
49,dear_ADJ,0.6999999999999998,0.7999999999999999,1.3399999999999999,0.89
50,little_ADJ,0.2100000000000002,0.8899999999999999,0.7699999999999998,1.08
51,absolute_ADJ,1.1199999999999999,1.0899999999999999,1.17,1.37
52,lesser_ADJ,0.51,0.4700000000000002,0.27,2.3499999999999996
53,hideous_ADJ,0.2400000000000002,0.22999999999999998,0.29000000000000004,0.75
54,goddamn_ADJ,0.9300000000000002,0.29000000000000004,1.06,1.57
55,peaceful_ADJ,0.10000000000000009,0.08999999999999986,0.45999999999999996,0.21999999999999975
56,strong_ADJ,0.9299999999999999,0.15000000000000013,0.07000000000000006,0.19999999999999996
57,tired_ADJ,0.6000000000000001,0.1399999999999999,0.7700000000000001,1.3399999999999999
58,true_ADJ,1.23,1.1,1.83,2.25
59,superb_ADJ,1.43,2.01,1.1500000000000001,0.09000000000000008
60,amused_ADJ,1.04,0.79,0.19,0.4
61,supposed_ADJ,0.36000000000000004,0.75,0.45999999999999996,0.06000000000000005
62,admirable_ADJ,0.21999999999999997,0.33000000000000007,1.96,1.79
63,filthy_ADJ,0.16999999999999993,0.29000000000000026,0.74,0.6400000000000001
64,ashamed_ADJ,0.56,0.71,0.93,1.31
65,selfish_ADJ,0.32999999999999985,0.53,0.6500000000000001,0.5000000000000002
66,accidental_ADJ,0.10999999999999988,0.13000000000000012,0.050000000000000044,0.5099999999999998
67,uncomfortable_ADJ,0.19999999999999973,0.8900000000000001,1.0999999999999999,1.1099999999999999
68,surprised_ADJ,0.65,0.4,0.61,0.63
69,tense_ADJ,0.71,0.1399999999999999,1.6199999999999999,1.96
70,alive_ADJ,0.8999999999999999,1.08,1.1,1.0499999999999998
