id,model,regular,incremental
0,GlobalAnchors,0.3850729517396184,0.22626262626262625
1,ProcrustesAligner,0.30419103313840157,0.3696649029982363
2,KendallTau,0.08024691358024691,0.04691358024691358
3,Jaccard,0.09938271604938272,0.12654320987654322
4,united,0.4167548500881834,0.4142499475832809
