id,model,regular,incremental
0,GlobalAnchors,0.17063492063492064,0.07407407407407408
1,ProcrustesAligner,0.1712682379349046,0.0
2,KendallTau,0.0,0.08112874779541447
3,Jaccard,0.027777777777777776,0.0
4,united,0.299294532627866,0.17962962962962964
