id,model,regular,incremental
0,GlobalAnchors,0.4219328108102764,0.38416289482931915
1,ProcrustesAligner,0.4185903980992331,0.3266145151457933
2,KendallTau,0.29923208742768126,0.30105438994944483
3,Jaccard,0.3083872562946064,0.28929545137570445
4,united,0.45799527920971467,0.4114905807408131
