,WORD,frequency,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,головной_ADJ,8.627489269687663e-05,0.19971536099910736,0.3333333333333333,0.37213207222521305,1.0
1,обычный_ADJ,0.0006035705455892848,0.17144136130809784,1.0,0.4268311560153961,0.3333333333333333
2,совместный_ADJ,0.0001258599448008541,0.1459420621395111,1.0,0.40574776381254196,-0.3333333333333333
3,социальный_ADJ,0.00040090608661048097,0.12141963839530945,1.0,0.42488960130140185,1.0
4,динамический_ADJ,2.936522925183725e-05,0.10365766286849976,1.0,0.3287206403911114,0.3333333333333333
5,химический_ADJ,0.0006265403967167229,0.1116650402545929,1.0,0.3583377692848444,-0.3333333333333333
6,подпольный_ADJ,3.7488723984315265e-05,0.14058376848697662,1.0,0.3471011267974973,1.0
7,офицерский_ADJ,6.775413703976907e-05,0.1520913690328598,0.3333333333333333,0.362328864634037,0.3333333333333333
8,конкретный_ADJ,0.00022785459958390395,0.13968876004219055,1.0,0.42866174690425396,0.3333333333333333
9,жестяной_ADJ,3.2041971674984946e-05,0.04732595384120941,1.0,0.3443911988288164,0.3333333333333333
10,средневековый_ADJ,7.754107458194362e-05,0.15111933648586273,0.3333333333333333,0.3750950237736106,-0.3333333333333333
11,сталинский_ADJ,8.91143025754326e-05,0.1661677360534668,0.3333333333333333,0.35669140703976154,0.3333333333333333
12,масляный_ADJ,3.5838979927000084e-05,0.06385087966918945,1.0,0.3456199411302805,-1.0
13,непривычный_ADJ,6.0995042690392435e-05,0.13731110095977783,0.3333333333333333,0.3846343541517854,-0.3333333333333333
14,артиллерийский_ADJ,5.593419682566366e-05,0.1314629167318344,1.0,0.32858262676745653,0.3333333333333333
15,дощатый_ADJ,3.391936333416088e-05,0.04957026243209839,1.0,0.30522609857143834,-1.0
16,пионерский_ADJ,4.9994265434501055e-05,0.1701187789440155,1.0,0.3266270598396659,-0.3333333333333333
17,машинный_ADJ,3.584164094705945e-05,0.11432312428951263,0.3333333333333333,0.30851440969854593,0.3333333333333333
18,огневой_ADJ,3.187048926454998e-05,0.12503719329833984,0.3333333333333333,0.3157266955822706,0.3333333333333333
19,пространственный_ADJ,3.54222305063068e-05,0.12186060845851898,0.3333333333333333,0.36536957509815693,0.3333333333333333
20,довоенный_ADJ,3.384030598401958e-05,0.15061534941196442,1.0,0.32580241840332747,0.3333333333333333
21,второй_ADJ,0.0017478269018341111,0.2013637274503708,1.0,0.4336845241487026,0.3333333333333333
22,энергетический_ADJ,6.766491997318489e-05,0.11810624599456787,1.0,0.3810496926307678,0.3333333333333333
23,подлинный_ADJ,0.00018736414980760185,0.11829018592834473,0.3333333333333333,0.40893789380788803,0.3333333333333333
24,восточный_ADJ,0.00016715593282857995,0.1515166461467743,0.3333333333333333,0.3937478009611368,-0.3333333333333333
25,венгерский_ADJ,4.057015637852967e-05,0.12306268513202667,1.0,0.346197035163641,-0.3333333333333333
26,крепостной_ADJ,4.535098974365849e-05,0.13120850920677185,1.0,0.35756990127265453,0.3333333333333333
27,формальный_ADJ,6.453405731257029e-05,0.11994774639606476,1.0,0.39153043273836374,0.3333333333333333
28,психический_ADJ,8.15671734979114e-05,0.12186777591705322,1.0,0.35732100158929825,1.0
29,предыдущий_ADJ,0.0001272520938448213,0.17276936769485474,1.0,0.4274159325286746,0.3333333333333333
30,80-й_ADJ,2.3779060312873677e-05,0.1887182891368866,0.3333333333333333,0.36352221481502056,-0.3333333333333333
31,очередной_ADJ,0.00032427968628950566,0.15418365597724915,1.0,0.3724285210482776,0.3333333333333333
32,съемочный_ADJ,2.7444480556382146e-05,0.22517378628253937,1.0,0.34123190422542393,0.3333333333333333
33,ученый_ADJ,9.428361995131098e-05,0.14344383776187897,1.0,0.37480018578935415,-0.3333333333333333
34,недоступный_ADJ,5.912612980864797e-05,0.13598193228244781,1.0,0.37142010359093547,0.3333333333333333
35,закрытый_ADJ,5.54318834277788e-05,0.19757480919361115,0.3333333333333333,0.34673002921044827,0.3333333333333333
36,вертикальный_ADJ,6.07413446526125e-05,0.07586012780666351,1.0,0.34636523574590683,-0.3333333333333333
37,наглядный_ADJ,3.6155116850849955e-05,0.13400708138942719,0.3333333333333333,0.32554506324231625,-0.3333333333333333
38,бумажный_ADJ,9.265970898489267e-05,0.09807108342647552,0.3333333333333333,0.39053876139223576,-0.3333333333333333
39,педагогический_ADJ,8.285323869935812e-05,0.12822619080543518,1.0,0.3845494342967868,0.3333333333333333
40,слышный_ADJ,8.503517131858112e-05,0.11771374940872192,1.0,0.327829503454268,0.3333333333333333
41,этический_ADJ,2.8079372060836106e-05,0.11024661362171173,0.3333333333333333,0.36400391918141395,-0.3333333333333333
42,вечный_ADJ,0.0003177620315301641,0.15911510586738586,0.3333333333333333,0.3845185777172446,0.3333333333333333
43,тамошний_ADJ,2.8413377967260003e-05,0.15388333797454834,-0.3333333333333333,0.4085237253457308,0.3333333333333333
44,бесплатный_ADJ,4.22341521558091e-05,0.15040647983551025,1.0,0.37178557412698865,-1.0
45,австрийский_ADJ,2.787852176881507e-05,0.10415685176849365,0.3333333333333333,0.34354246966540813,-0.3333333333333333
46,украинский_ADJ,0.00010409952124802254,0.17528468370437622,0.3333333333333333,0.3999312133528292,0.3333333333333333
47,теперешний_ADJ,4.343462445911703e-05,0.1669454276561737,1.0,0.3938126642606221,0.3333333333333333
48,смешанный_ADJ,2.909794167014892e-05,0.1743333637714386,1.0,0.3608388938009739,0.3333333333333333
49,природный_ADJ,0.00018887357266534428,0.11714068055152893,0.3333333333333333,0.38689244804845657,-1.0
50,областной_ADJ,9.346850604430121e-05,0.13002532720565796,1.0,0.36238210927695036,1.0
51,питательный_ADJ,4.770199642324417e-05,0.09432634711265564,0.3333333333333333,0.3301455373875797,-0.3333333333333333
52,колхозный_ADJ,7.889559795982328e-05,0.1289016157388687,1.0,0.3465780568367336,-0.3333333333333333
53,системный_ADJ,1.940484103211625e-05,0.14351578056812286,1.0,0.41877228301018476,-0.3333333333333333
54,картонный_ADJ,2.8665822475469225e-05,0.059367597103118896,1.0,0.3408670434728265,-0.3333333333333333
55,немой_ADJ,4.7872368719520524e-05,0.16765911877155304,0.3333333333333333,0.3554282207041979,0.3333333333333333
56,тугой_ADJ,4.879161772555248e-05,0.05484606325626373,1.0,0.357148451381363,-0.3333333333333333
57,проектный_ADJ,2.720188699723336e-05,0.12965735793113708,1.0,0.3477377276867628,0.3333333333333333
58,собачий_ADJ,5.731153554182719e-05,0.15079569816589355,0.3333333333333333,0.35029100999236107,-0.3333333333333333
59,один_ADJ,0.0021666753578402365,0.33437390625476837,1.0,0.6091090431436896,0.3333333333333333
60,7-й_ADJ,2.4041008010451022e-05,0.1331859976053238,1.0,0.3351153992116451,0.3333333333333333
61,неповторимый_ADJ,5.424483878690483e-05,0.13839182257652283,0.3333333333333333,0.3529378639650531,0.3333333333333333
62,бесконечный_ADJ,0.00018419726846000513,0.12813939154148102,1.0,0.40171620063483715,-0.3333333333333333
63,режиссерский_ADJ,2.990602088054435e-05,0.1561194807291031,1.0,0.3660438507795334,-0.3333333333333333
64,культурный_ADJ,0.0001953236912771504,0.15374460816383362,1.0,0.4097377685829997,1.0
65,дачный_ADJ,3.8681974305780157e-05,0.15808707475662231,1.0,0.3552271567750722,0.3333333333333333
66,арабский_ADJ,5.2193852231117186e-05,0.15554168820381165,1.0,0.40505141392350197,-0.3333333333333333
67,швейцарский_ADJ,2.6574470391603175e-05,0.12331312894821167,1.0,0.3532125409692526,-0.3333333333333333
68,десятый_ADJ,0.00010122062821878424,0.20432166755199432,0.3333333333333333,0.35189537797123194,-0.3333333333333333
69,многие_ADJ,0.0015548667053700937,0.15682148933410645,1.0,0.4856308987364173,-0.3333333333333333
70,двухэтажный_ADJ,4.074269142872215e-05,0.08317016065120697,1.0,0.3066853084601462,-0.3333333333333333
71,японский_ADJ,0.00016102467036318996,0.21273064613342285,0.3333333333333333,0.40253449603915215,-0.3333333333333333
72,конституционный_ADJ,2.6219493335301417e-05,0.20883393287658691,0.3333333333333333,0.41135717649012804,0.3333333333333333
73,третий_ADJ,0.0009550006804470125,0.2378225326538086,1.0,0.44596897810697556,0.3333333333333333
74,акционерный_ADJ,1.8639100449181486e-05,0.13522811233997345,1.0,0.3559485413134098,0.3333333333333333
75,предельный_ADJ,5.316002605632905e-05,0.1098715215921402,1.0,0.3594763679429889,-0.3333333333333333
76,комсомольский_ADJ,0.00010383523418831381,0.17508171498775482,0.3333333333333333,0.34217361081391573,-0.3333333333333333
77,устный_ADJ,4.073250973643994e-05,0.12470516562461853,0.3333333333333333,0.353082031942904,-0.3333333333333333
78,косвенный_ADJ,3.049970023408568e-05,0.1320180594921112,1.0,0.3297456856817007,0.3333333333333333
79,величайший_ADJ,3.177523228551903e-05,0.11319607496261597,1.0,0.3034888282418251,-0.3333333333333333
80,незнакомый_ADJ,0.00019285001157531235,0.19117122888565063,0.3333333333333333,0.4106703754514456,-0.3333333333333333
81,необъяснимый_ADJ,3.7815033651061304e-05,0.12536299228668213,0.3333333333333333,0.30752699077129364,0.3333333333333333
82,квантовый_ADJ,8.157584124239452e-05,0.11671234667301178,1.0,0.3276100605726242,-0.3333333333333333
83,вероятный_ADJ,4.075292727515682e-05,0.15812650322914124,1.0,0.34643405117094517,-0.3333333333333333
84,ближайший_ADJ,0.00019484416909280154,0.19997985661029816,1.0,0.3869554288685322,1.0
