,word,pre-soviet,soviet-post,mean
0,авантюрный_ADJ,,,
1,беззаботный_ADJ,0.6795223355293274,0.6520712375640869,0.6657967865467072
2,безликий_ADJ,0.30003318190574646,0.5143086314201355,0.407170906662941
3,безупречный_ADJ,0.7074350118637085,0.6888504028320312,0.6981427073478699
4,бесподобный_ADJ,0.6096773147583008,0.6060572266578674,0.6078672707080841
5,важный_ADJ,0.7737055420875549,0.7791818976402283,0.7764437198638916
6,вкусный_ADJ,0.7144700288772583,0.7433230876922607,0.7288965582847595
7,вонючий_ADJ,0.7886393666267395,0.8129385709762573,0.8007889688014984
8,воспитанный_ADJ,0.6519761681556702,0.6988075971603394,0.6753918826580048
9,вредный_ADJ,0.746491551399231,0.6858154535293579,0.7161535024642944
10,выгодный_ADJ,0.7374182939529419,0.7132455110549927,0.7253319025039673
11,высокий_ADJ,0.7323509454727173,0.6543640494346619,0.6933574974536896
12,глупый_ADJ,0.7410058379173279,0.7514611482620239,0.7462334930896759
13,гнусный_ADJ,0.661186695098877,0.6233544945716858,0.6422705948352814
14,голубой_ADJ,0.8089601993560791,0.799304723739624,0.8041324615478516
15,грамотный_ADJ,0.6351094841957092,0.6426628828048706,0.6388861835002899
16,грязный_ADJ,0.7593039274215698,0.789055347442627,0.7741796374320984
17,добрый_ADJ,0.6639878749847412,0.6836641430854797,0.6738260090351105
18,дорогой_ADJ,0.5616259574890137,0.5733556747436523,0.567490816116333
19,достойный_ADJ,0.7515515089035034,0.7533358335494995,0.7524436712265015
20,дурацкий_ADJ,0.6357656121253967,0.6515090465545654,0.6436373293399811
21,душевный_ADJ,0.7824005484580994,0.736293375492096,0.7593469619750977
22,дьявольский_ADJ,0.6931685209274292,0.7354045510292053,0.7142865359783173
23,жестокий_ADJ,0.752517580986023,0.7542708516120911,0.753394216299057
24,завидный_ADJ,0.532014787197113,0.5770995616912842,0.5545571744441986
25,здоровый_ADJ,0.6351874470710754,0.6832498908042908,0.6592186689376831
26,зеленый_ADJ,0.83402419090271,0.8221415281295776,0.8280828595161438
27,злостный_ADJ,0.6292158365249634,0.6626185178756714,0.6459171772003174
28,золотой_ADJ,0.737740159034729,0.7226603627204895,0.7302002608776093
29,идеальный_ADJ,0.7484008073806763,0.7518686652183533,0.7501347362995148
30,известный_ADJ,0.7962576150894165,0.770958662033081,0.7836081385612488
31,интеллигентный_ADJ,0.5464982390403748,0.6464830040931702,0.5964906215667725
32,интересный_ADJ,0.7395479679107666,0.7278342843055725,0.7336911261081696
33,искусный_ADJ,0.5686057806015015,0.6683652997016907,0.6184855401515961
34,каменный_ADJ,0.7276438474655151,0.7774183750152588,0.752531111240387
35,качественный_ADJ,0.7815491557121277,0.722496509552002,0.7520228326320648
36,классный_ADJ,0.45867013931274414,0.5370144248008728,0.49784228205680847
37,короткий_ADJ,0.6241223812103271,0.630260169506073,0.6271912753582001
38,кошмарный_ADJ,0.548783004283905,0.5503304600715637,0.5495567321777344
39,красивый_ADJ,0.7165754437446594,0.7020407915115356,0.7093081176280975
40,красный_ADJ,0.6865850687026978,0.6906951665878296,0.6886401176452637
41,критический_ADJ,0.7724812626838684,0.7554229497909546,0.7639521062374115
42,критичный_ADJ,,,
43,крупный_ADJ,0.6904768347740173,0.6681618690490723,0.6793193519115448
44,крутой_ADJ,0.6987747550010681,0.4644533395767212,0.5816140472888947
45,культурный_ADJ,0.7495354413986206,0.7745509743690491,0.7620432078838348
46,легендарный_ADJ,0.5956827998161316,0.66582190990448,0.6307523548603058
47,легкий_ADJ,0.7029383182525635,0.650404155254364,0.6766712367534637
48,лишний_ADJ,0.6586483120918274,0.6040209531784058,0.6313346326351166
49,лучший_ADJ,0.7450312376022339,0.7077436447143555,0.7263874411582947
50,любимый_ADJ,0.6036139726638794,0.623437225818634,0.6135255992412567
51,мелкий_ADJ,0.75250244140625,0.7115384340286255,0.7320204377174377
52,мягкий_ADJ,0.7854740023612976,0.7816960215568542,0.7835850119590759
53,наблюдательный_ADJ,0.4640432298183441,0.5316811203956604,0.49786217510700226
54,надежный_ADJ,0.6862065196037292,0.6782659888267517,0.6822362542152405
55,наибольший_ADJ,0.7808249592781067,0.7516248226165771,0.7662248909473419
56,настоящий_ADJ,0.7649514079093933,0.705158531665802,0.7350549697875977
57,невыносимый_ADJ,0.7066421508789062,0.588525116443634,0.6475836336612701
58,негативный_ADJ,0.3951692283153534,0.7192713618278503,0.5572202950716019
59,непревзойденный_ADJ,,,
60,неприятный_ADJ,0.7185901999473572,0.6604093313217163,0.6894997656345367
61,нерадивый_ADJ,0.4071162939071655,0.6723979115486145,0.53975710272789
62,неслыханный_ADJ,0.6943057775497437,0.5882539749145508,0.6412798762321472
63,несправедливый_ADJ,0.7733206748962402,0.7683689594268799,0.7708448171615601
64,неудачный_ADJ,0.6767742037773132,0.6111521124839783,0.6439631581306458
65,неуместный_ADJ,0.6884811520576477,0.7100270986557007,0.6992541253566742
66,низкий_ADJ,0.6701884865760803,0.6830176711082458,0.6766030788421631
67,нищенский_ADJ,0.6224737763404846,0.48922136425971985,0.5558475703001022
68,нормальный_ADJ,0.7767496109008789,0.6972278356552124,0.7369887232780457
69,нудный_ADJ,0.5239576697349548,0.5405709743499756,0.5322643220424652
70,обаятельный_ADJ,0.6126793622970581,0.6802566051483154,0.6464679837226868
71,обшарпанный_ADJ,,,
72,опасный_ADJ,0.7553799748420715,0.7463714480400085,0.75087571144104
73,острый_ADJ,0.7376994490623474,0.7437423467636108,0.7407208979129791
74,ответственный_ADJ,0.7402392625808716,0.723787248134613,0.7320132553577423
75,открытый_ADJ,0.6699402928352356,0.640679121017456,0.6553097069263458
76,отличный_ADJ,0.6573613882064819,0.6392021179199219,0.6482817530632019
