,word,pre-soviet,soviet-post,mean
0,авантюрный_ADJ,,,
1,беззаботный_ADJ,0.7691339254379272,0.7392444014549255,0.7541891634464264
2,безликий_ADJ,0.43687111139297485,0.6218554377555847,0.5293632745742798
3,безупречный_ADJ,0.6476883888244629,0.7201046943664551,0.683896541595459
4,бесподобный_ADJ,0.5713449120521545,0.5979974865913391,0.5846711993217468
5,важный_ADJ,0.8590141534805298,0.8666738271713257,0.8628439903259277
6,вкусный_ADJ,0.8441803455352783,0.8424959182739258,0.843338131904602
7,вонючий_ADJ,0.7833331823348999,0.7816611528396606,0.7824971675872803
8,воспитанный_ADJ,0.7565534710884094,0.7658720016479492,0.7612127363681793
9,вредный_ADJ,0.82173091173172,0.7489275932312012,0.7853292524814606
10,выгодный_ADJ,0.8219429850578308,0.8212178945541382,0.8215804398059845
11,высокий_ADJ,0.8509445786476135,0.8553308844566345,0.853137731552124
12,глупый_ADJ,0.8167009949684143,0.8199894428253174,0.8183452188968658
13,гнусный_ADJ,0.7512197494506836,0.7557186484336853,0.7534691989421844
14,голубой_ADJ,0.8300731182098389,0.7318781614303589,0.7809756398200989
15,грамотный_ADJ,0.7124075293540955,0.6923779249191284,0.7023927271366119
16,грязный_ADJ,0.831568717956543,0.8006556630134583,0.8161121904850006
17,добрый_ADJ,0.8092673420906067,0.8420892357826233,0.825678288936615
18,дорогой_ADJ,0.7824020981788635,0.7722082734107971,0.7773051857948303
19,достойный_ADJ,0.8037724494934082,0.7849180698394775,0.7943452596664429
20,дурацкий_ADJ,0.6744366884231567,0.7350616455078125,0.7047491669654846
21,душевный_ADJ,0.8379690647125244,0.7710517644882202,0.8045104146003723
22,дьявольский_ADJ,0.6989164352416992,0.7481098175048828,0.723513126373291
23,жестокий_ADJ,0.8396342992782593,0.7986658811569214,0.8191500902175903
24,завидный_ADJ,0.6174200773239136,0.6444311738014221,0.6309256255626678
25,здоровый_ADJ,0.7736152410507202,0.7839921712875366,0.7788037061691284
26,зеленый_ADJ,0.7947162389755249,0.7821904420852661,0.7884533405303955
27,злостный_ADJ,0.6504076719284058,0.7170330882072449,0.6837203800678253
28,золотой_ADJ,0.7932738065719604,0.7757968902587891,0.7845353484153748
29,идеальный_ADJ,0.7161495089530945,0.75904381275177,0.7375966608524323
30,известный_ADJ,0.8710587620735168,0.8805570006370544,0.8758078813552856
31,интеллигентный_ADJ,0.6952331066131592,0.7612945437431335,0.7282638251781464
32,интересный_ADJ,0.8505207300186157,0.8855100870132446,0.8680154085159302
33,искусный_ADJ,0.7650850415229797,0.8148813247680664,0.7899831831455231
34,каменный_ADJ,0.7546470761299133,0.7966822981834412,0.7756646871566772
35,качественный_ADJ,0.6692637801170349,0.6085600852966309,0.6389119327068329
36,классный_ADJ,0.6250120401382446,0.5835166573524475,0.6042643487453461
37,короткий_ADJ,0.7846223711967468,0.8703007698059082,0.8274615705013275
38,кошмарный_ADJ,0.6849433183670044,0.7232854962348938,0.7041144073009491
39,красивый_ADJ,0.8492852449417114,0.8916764259338379,0.8704808354377747
40,красный_ADJ,0.6684939861297607,0.7658051252365112,0.717149555683136
41,критический_ADJ,0.7644393444061279,0.7361953258514404,0.7503173351287842
42,критичный_ADJ,,,
43,крупный_ADJ,0.788647472858429,0.8108200430870056,0.7997337579727173
44,крутой_ADJ,0.7891798615455627,0.6140899062156677,0.7016348838806152
45,культурный_ADJ,0.7150344252586365,0.7699824571609497,0.7425084412097931
46,легендарный_ADJ,0.6597957015037537,0.7219763994216919,0.6908860504627228
47,легкий_ADJ,0.856803834438324,0.8792158365249634,0.8680098354816437
48,лишний_ADJ,0.7850669026374817,0.8265451192855835,0.8058060109615326
49,лучший_ADJ,0.8222264051437378,0.8596340417861938,0.8409302234649658
50,любимый_ADJ,0.7862066030502319,0.8041180372238159,0.7951623201370239
51,мелкий_ADJ,0.8165731430053711,0.8047601580619812,0.8106666505336761
52,мягкий_ADJ,0.8215334415435791,0.7753287553787231,0.7984310984611511
53,наблюдательный_ADJ,0.4499923586845398,0.6071811318397522,0.528586745262146
54,надежный_ADJ,0.8031425476074219,0.8275308609008789,0.8153367042541504
55,наибольший_ADJ,0.795221209526062,0.8180563449859619,0.806638777256012
56,настоящий_ADJ,0.7833520770072937,0.8086478114128113,0.7959999442100525
57,невыносимый_ADJ,0.8085366487503052,0.785126268863678,0.7968314588069916
58,негативный_ADJ,0.3446652889251709,0.6073333621025085,0.4759993255138397
59,непревзойденный_ADJ,,,
60,неприятный_ADJ,0.8697984218597412,0.839022159576416,0.8544102907180786
