,word,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,mean
0,авантюрный_ADJ,0.5334840416908264,0.5910369753837585,0.6764485239982605,0.45616868138313293,0.4464997947216034,0.5564064979553223,0.6651419401168823,0.6376919150352478,0.5922958850860596,0.53133225440979,0.477751225233078,0.46076300740242004,0.5253199338912964,0.261910080909729,0.3976970613002777
1,беззаботный_ADJ,0.6313400268554688,0.658257007598877,0.6244530081748962,0.5999871492385864,0.6210089325904846,0.5781594514846802,0.6300046443939209,0.5625593066215515,0.5914293527603149,0.43383920192718506,0.40233203768730164,0.5945930480957031,0.6108912229537964,0.5723822712898254,0.6018611490726471
2,безликий_ADJ,0.36501944065093994,0.389832079410553,0.5598481893539429,0.45615848898887634,0.46257299184799194,0.41196954250335693,0.48176050186157227,0.39979350566864014,0.4137064516544342,0.21652750670909882,0.3609379827976227,0.3527396619319916,0.37918293476104736,0.38483938574790955,0.37492941319942474
3,безупречный_ADJ,0.45592841506004333,0.6747511625289917,0.6609089970588684,0.5799911022186279,0.6844614744186401,0.6946284174919128,0.6952326893806458,0.6901323795318604,0.6690125465393066,0.6506808996200562,0.657207190990448,0.6466047763824463,0.6857068538665771,0.646035373210907,0.5509818941354752
4,бесподобный_ADJ,,0.6088632941246033,0.7020689845085144,0.41204845905303955,0.46107420325279236,0.47412532567977905,0.4419749677181244,0.31661316752433777,0.3499465584754944,0.6132931709289551,0.4424862265586853,0.4325233995914459,0.5639856457710266,0.6198887228965759,0.6198887228965759
5,важный_ADJ,0.829085111618042,0.8427444100379944,0.8409111499786377,0.8325114250183105,0.8519647717475891,0.8584954142570496,0.8862887620925903,0.8627510070800781,0.8796176314353943,0.8862894177436829,0.8584150671958923,0.8888651132583618,0.8902512192726135,0.8565680384635925,0.8428265750408173
6,вкусный_ADJ,0.8297562003135681,0.8728811144828796,0.8950065970420837,0.8750988841056824,0.8693299293518066,0.8348134160041809,0.8314017653465271,0.8103795647621155,0.8496975898742676,0.8516378998756409,0.845260739326477,0.8479914665222168,0.8497219085693359,0.7806851267814636,0.8052206635475159
7,вонючий_ADJ,0.6341182589530945,0.6694398522377014,0.5802568197250366,0.7463191747665405,0.7123961448669434,0.749616265296936,0.5401895642280579,0.4515986144542694,0.5184181332588196,0.6267384886741638,0.3792257010936737,0.588828444480896,0.568717360496521,0.4797721803188324,0.5569452196359634
8,воспитанный_ADJ,0.6681109666824341,0.7255723476409912,0.7087708115577698,0.7229031324386597,0.745032787322998,0.6997529864311218,0.7409190535545349,0.7556713819503784,0.6801874041557312,0.666804313659668,0.7059985995292664,0.6577207446098328,0.7220652103424072,0.5742684602737427,0.6211897134780884
9,вредный_ADJ,0.7994585037231445,0.8167984485626221,0.7880184650421143,0.7689403891563416,0.7288985252380371,0.755908727645874,0.7833729386329651,0.7433449029922485,0.7608464956283569,0.7542587518692017,0.7310047745704651,0.7326633930206299,0.7788763046264648,0.7308520078659058,0.7651552557945251
