,WORD,frequency,mean_dist_jaccard,sum_deltas_jaccard,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,ivory_ADJ,6.106036992378242e-06,0.5849358974358975,0.6666666666666666,0.06673654913902283,1.0,0.3220388423651457,-1.0
1,mainly_ADJ,3.4477935999642323e-06,0.8447712418300655,0.0,0.07204076647758484,1.0,0.3482213709503412,0.3333333333333333
2,garrulous_ADJ,4.158991945182219e-06,0.6734936889735652,0.3333333333333333,0.07539094984531403,1.0,0.3311210433021188,0.3333333333333333
3,sob_ADJ,2.1957163625487713e-06,0.7725563909774436,0.0,0.07607640326023102,1.0,0.3170766946277581,0.3333333333333333
4,stabilizing_ADJ,1.4115013464055771e-06,0.7130325814536341,0.0,0.07077525556087494,1.0,0.32068923581391573,0.3333333333333333
5,fewer_ADJ,1.343254648030176e-05,0.7173060857271383,0.0,0.20054703950881958,0.3333333333333333,0.33371272520162165,0.3333333333333333
6,manchurian_ADJ,9.202816240476851e-07,0.7083333333333334,0.0,0.06773947179317474,1.0,0.3024039501324296,-0.3333333333333333
7,jowled_ADJ,3.7963355921435345e-07,0.6057692307692308,0.3333333333333333,0.0338108092546463,1.0,0.25466344598680735,0.6666666666666666
8,snapshot_ADJ,9.170362904528786e-07,0.8708290333677331,0.3333333333333333,0.062405213713645935,1.0,0.3559888107702136,1.0
9,thrust_ADJ,1.0333260496997443e-05,0.532051282051282,0.6666666666666666,0.06855073571205139,1.0,0.3081374727189541,0.3333333333333333
10,distinguishable_ADJ,7.101804138176907e-06,0.34915084915084904,0.3333333333333333,0.08506977558135986,1.0,0.3082728572189808,0.3333333333333333
11,staged_ADJ,1.9513544280252326e-06,0.6866515837104072,0.0,0.07807852327823639,1.0,0.34892173670232296,0.3333333333333333
12,canny_ADJ,6.952496992049264e-06,0.5637973137973138,-0.3333333333333333,0.09819413721561432,1.0,0.33694610372185707,1.0
