38	221	0.875	1
76	255	0.0	0
16	73	0.875	0
1	6	1.0	0
234	87	0.875	0
160	405	0.75	0
1	349	1.0	1
1	337	0.375	0
1	344	0.25	0
316	1	0.75	1
1	1	0.25	1
1	216	0.5	0
296	413	0.25	0
375	1	0.5	1
372	323	0.75	0
101	1	0.875	1
377	224	0.875	1
289	123	0.25	0
1	219	0.75	0
1	256	0.75	0
1	293	0.0	0
1	18	0.125	0
1	1	1.0	1
1	1	0.0	1
1	388	0.75	0
1	49	0.625	1
1	420	0.0	0
393	68	0.625	0
95	17	0.0	0
1	386	0.5	0
1	383	0.5	0
384	80	0.625	0
1	1	0.5	1
1	209	0.125	0
267	418	0.875	0
420	231	0.875	0
1	204	0.5	0
1	262	0.625	0
423	198	0.875	0
1	1	0.625	1
1	91	0.25	0
284	310	0.625	0
1	54	0.5	1
1	40	0.75	0
174	407	0.375	0
1	50	0.25	0
295	1	1.0	1
111	365	1.0	0
1	194	0.625	0
1	1	0.375	1
1	80	0.75	1
1	261	1.0	0
1	276	0.125	0
108	371	0.625	0
1	298	0.5	0
343	423	0.5	0
8	346	0.0	0
1	322	1.0	0
1	142	1.0	1
1	389	0.25	0
347	1	0.375	1
317	342	0.25	0
1	53	0.375	0
1	340	0.125	0
13	215	0.125	0
188	414	0.125	0
1	429	0.875	0
92	17	0.75	0
412	401	0.75	1
1	382	0.0	0
124	1	0.875	1
1	275	0.25	0
327	151	0.625	0
363	55	0.75	0
30	94	0.5	0
1	162	0.125	0
1	393	1.0	0
1	296	0.75	0
1	228	0.125	1
1	343	0.5	0
1	284	1.0	0
24	35	0.625	0
245	267	1.0	0
1	129	0.625	0
1	81	0.375	0
1	1	0.5	1
220	66	1.0	0
1	66	0.5	0
1	7	0.75	0
139	375	0.625	0
1	1	0.5	1
369	288	0.5	0
68	158	0.75	0
1	1	0.25	1
330	203	0.375	1
230	1	0.625	1
1	192	0.5	0
47	429	0.625	0
1	271	0.625	0
162	163	0.375	0
1	108	0.5	0
1	198	0.0	0
1	366	0.625	0
1	389	1.0	0
224	105	0.375	0
