,WORD,frequency,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,головной_ADJ,4.280013154350147e-05,0.311767041683197,1.0,0.4074300527572632,1.0
1,обычный_ADJ,0.0002638897806123807,0.2661231458187103,1.0,0.23289650678634644,-0.3333333333333333
2,совместный_ADJ,7.11194116502803e-05,0.19072282314300537,1.0,0.2488199770450592,1.0
3,социальный_ADJ,0.00023790158670770637,0.16179360449314117,1.0,0.2718522548675537,0.3333333333333333
4,химический_ADJ,0.00020114201114495388,0.2003811150789261,0.3333333333333333,0.2820749580860138,0.3333333333333333
5,конкретный_ADJ,0.00012617140909952702,0.15336334705352783,1.0,0.20552292466163635,1.0
6,средневековый_ADJ,3.5463268535044945e-05,0.22292187809944153,0.3333333333333333,0.24352790415287018,-0.3333333333333333
7,сталинский_ADJ,4.6282887857839104e-05,0.22545841336250305,1.0,0.2878757417201996,1.0
8,второй_ADJ,0.000812786992344618,0.3419296443462372,1.0,0.21024127304553986,1.0
9,энергетический_ADJ,3.4970278627952395e-05,0.19959183037281036,1.0,0.27501310408115387,0.3333333333333333
10,подлинный_ADJ,8.035022025143772e-05,0.14933344721794128,1.0,0.2231169044971466,0.3333333333333333
11,восточный_ADJ,8.353363363848161e-05,0.24504871666431427,1.0,0.28663188219070435,0.3333333333333333
12,формальный_ADJ,3.253965984406394e-05,0.15478017926216125,1.0,0.20377109944820404,1.0
13,психический_ADJ,4.215604602158766e-05,0.16778241097927094,1.0,0.230022594332695,0.3333333333333333
14,предыдущий_ADJ,6.442366057116908e-05,0.22037531435489655,1.0,0.24466164410114288,1.0
15,очередной_ADJ,0.00016877669892414478,0.33563587069511414,1.0,0.19252687692642212,1.0
16,ученый_ADJ,4.0203524547873814e-05,0.2211877852678299,1.0,0.2798139750957489,1.0
17,вертикальный_ADJ,2.8836730424198162e-05,0.1724412590265274,1.0,0.21214859187602997,1.0
18,бумажный_ADJ,4.0668862747769884e-05,0.13396279513835907,1.0,0.2772696614265442,1.0
19,педагогический_ADJ,3.966449477969526e-05,0.19376622140407562,1.0,0.23515993356704712,0.3333333333333333
20,слышный_ADJ,3.5246228611757306e-05,0.18204142153263092,0.3333333333333333,0.15100660920143127,1.0
21,вечный_ADJ,0.00014426327918152715,0.22769279778003693,1.0,0.29047559201717377,1.0
22,бесплатный_ADJ,2.4425614000521244e-05,0.247540682554245,1.0,0.23683588206768036,1.0
23,украинский_ADJ,5.1152682514205974e-05,0.2574208974838257,0.3333333333333333,0.2735512852668762,0.3333333333333333
24,природный_ADJ,9.098209761646053e-05,0.17127886414527893,1.0,0.2755952626466751,1.0
25,областной_ADJ,5.344725199439625e-05,0.20782975852489471,1.0,0.215139240026474,1.0
26,один_ADJ,0.0009541682484809291,0.35630665719509125,0.3333333333333333,0.20836399495601654,0.3333333333333333
27,бесконечный_ADJ,8.377866334469323e-05,0.23049557209014893,1.0,0.23660381138324738,0.3333333333333333
28,культурный_ADJ,0.00010329652607385303,0.18368369340896606,1.0,0.2764693796634674,1.0
