,WORD,frequency,mean_dist_jaccard,sum_deltas_jaccard,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
0,телевизионный_ADJ,3.055920310608114e-05,0.8316133470932232,0.3333333333333333,0.2664909213781357,1.0,0.2762390226125717,1.0
1,хозяйский_ADJ,1.1636578927195008e-05,0.9444444444444444,0.0,0.1903512179851532,0.3333333333333333,0.307221457362175,-0.3333333333333333
2,добровольный_ADJ,1.994642823002204e-05,0.8965643274853801,0.6666666666666666,0.19507130980491638,1.0,0.2815341204404831,0.3333333333333333
3,белый_ADJ,0.0006164489618975956,0.6636904761904763,-0.3333333333333333,0.16264651715755463,1.0,0.2801293730735779,-0.3333333333333333
4,органический_ADJ,5.5696926335086244e-05,0.9181286549707602,0.0,0.15608251094818115,1.0,0.22094909846782684,0.3333333333333333
5,основной_ADJ,0.00038107366904926315,0.7473290598290598,0.6666666666666666,0.17749333381652832,1.0,0.23186619579792023,1.0
6,оживленный_ADJ,1.134901283508562e-05,0.7029061624649859,0.0,0.2947888970375061,1.0,0.1983366161584854,1.0
7,пасхальный_ADJ,1.0433385177982698e-05,0.8340643274853801,0.0,0.24833503365516663,1.0,0.25073543190956116,0.3333333333333333
8,крайний_ADJ,0.00015241128963235827,0.8078038232836995,0.0,0.4207136332988739,1.0,0.25769349932670593,0.3333333333333333
9,силовой_ADJ,2.6487232496713206e-05,0.9312865497076024,0.0,0.2387220561504364,1.0,0.2944786101579666,1.0
10,вечерний_ADJ,6.337866737820241e-05,0.6636904761904763,0.3333333333333333,0.24675707519054413,1.0,0.22459980845451355,0.3333333333333333
11,несомненный_ADJ,2.3908728906047254e-05,0.7421218487394958,0.0,0.16466005146503448,1.0,0.2151283472776413,1.0
12,седой_ADJ,5.973825404231304e-05,0.7083333333333334,0.3333333333333333,0.12773172557353973,0.3333333333333333,0.19245979189872742,1.0
13,антисоветский_ADJ,1.5541760265393943e-05,0.7212885154061623,0.3333333333333333,0.17758862674236298,0.3333333333333333,0.20488251745700836,0.3333333333333333
14,цветной_ADJ,6.939121599139849e-05,0.7768440709617179,0.0,0.1625666469335556,1.0,0.2689252346754074,1.0
15,двухэтажный_ADJ,1.913638318076375e-05,0.48901098901098905,0.3333333333333333,0.14128632843494415,1.0,0.10894985496997833,1.0
16,речной_ADJ,2.6641915927282974e-05,0.798611111111111,-0.3333333333333333,0.1379263699054718,0.3333333333333333,0.19677852094173431,1.0
