,word,mean_dist,mean_freq
0,вальяжный_ADJ,0.4950607270002365,1.5864856194283359e-06
1,теснейший_ADJ,0.37487930059432983,2.8919083176665e-06
2,бесноватый_ADJ,0.425515353679657,1.980443830693509e-06
3,демонстративной_ADJ,0.6745303422212601,4.792552791019816e-07
4,такой_ADJ,0.43594780564308167,1.1861462959225643e-05
5,непригодный_ADJ,0.23909476399421692,5.8681717502018355e-06
6,епископский_ADJ,0.3291091322898865,2.148597008053945e-06
7,вдовий_ADJ,0.5310965776443481,1.4304845306054434e-06
8,чешский_ADJ,0.3359474241733551,1.2325764361229235e-05
9,штыковый_ADJ,0.3116407096385956,1.3779892010933639e-06
10,замкнутый_ADJ,0.3000032305717468,1.2391890828940408e-05
11,зачаточный_ADJ,0.3876441419124603,1.929663728784327e-06
12,круговой_ADJ,0.4379059672355652,1.0327196695190581e-05
13,евругой_ADJ,0.36828529834747314,9.483091554083522e-07
14,мануфактурный_ADJ,0.4653005450963974,2.4836047491826834e-06
15,пространный_ADJ,0.3672686219215393,8.554686733747855e-06
16,головинский_ADJ,0.5693283081054688,4.5575803222169436e-07
17,беззубый_ADJ,0.2485378086566925,5.372791705635428e-06
18,моторный_ADJ,0.3986414670944214,7.452005565354423e-06
19,жертветь_ADJ,0.644383579492569,4.876949782952385e-07
20,белозерский_ADJ,0.3951728343963623,1.054821900716269e-06
21,полувоенный_ADJ,0.36821427941322327,1.1603774907206239e-06
22,спасительный_ADJ,0.34691858291625977,1.6392816127278386e-05
23,тим_ADJ,0.734345093369484,3.853987793226678e-06
24,водородный_ADJ,0.4321422278881073,4.350467025480093e-06
25,аппетитный_ADJ,0.262128084897995,2.8613426098209015e-06
26,зуб_ADJ,0.49105046689510345,6.717103772753012e-07
27,звать-то_ADJ,0.3956349492073059,3.349464056945916e-07
28,свистящий_ADJ,0.4397542178630829,5.73247957267987e-07
29,бытийный_ADJ,0.5939140021800995,7.072929041086017e-07
30,приблудный_ADJ,0.4116891324520111,1.2544502716674187e-06
31,замучить_ADJ,0.48305438458919525,9.333891328023339e-07
32,принудить_ADJ,0.6004630252718925,6.429681712300608e-06
33,змеевидный_ADJ,0.5875866711139679,4.334385393493138e-07
34,-культурный_ADJ,0.41252291202545166,1.2712187621439809e-06
35,продолжительный_ADJ,0.19189581274986267,3.244534686765332e-05
36,пушный_ADJ,0.3620341122150421,1.603184359256366e-06
37,трещать_ADJ,0.5130765587091446,2.837198792719739e-07
38,зерновой_ADJ,0.4606558680534363,4.081858773673387e-06
39,законченный_ADJ,0.6307258605957031,9.221335839365187e-07
40,киргизский_ADJ,0.4453490078449249,4.848731167908214e-06
41,трансцендентальный_ADJ,0.2649219334125519,3.670537427304047e-06
42,неласково_ADJ,0.5648422986268997,2.3496962359413263e-07
43,будапештский_ADJ,0.683477133512497,7.800025308290014e-07
44,ограничительный_ADJ,0.3805926740169525,1.6367697243482773e-06
45,войти_ADJ,0.40737438201904297,1.8644556645678735e-06
46,меньший_ADJ,0.2458849549293518,7.810676655326834e-05
47,приснопамятный_ADJ,0.6137655228376389,8.434677844235475e-07
48,некрашеный_ADJ,0.24881896376609802,2.4572283122010976e-06
49,предшествующий_ADJ,0.5868878364562988,5.997946038205368e-07
50,-научный_ADJ,0.6044600903987885,3.043121355374783e-07
51,литовской_ADJ,0.7569523751735687,6.351691351219802e-07
52,велик_ADJ,0.7700530663132668,7.945707430141916e-07
53,караульный_ADJ,0.32279306650161743,9.542459530779978e-06
54,суженый_ADJ,0.4749867916107178,2.046073113078423e-06
55,упитанный_ADJ,0.333072692155838,1.3868771073055829e-06
56,ротовой_ADJ,0.41361215710639954,8.497830232928563e-07
57,одноклеточный_ADJ,0.3778662085533142,1.0534948586690084e-06
58,тревожно_ADJ,0.37533608078956604,1.3199040205213596e-06
59,болван_ADJ,0.4543299674987793,5.358687028438594e-06
60,петровна_ADJ,0.25377145409584045,4.1586879939079605e-06
61,намерить_ADJ,0.7477393969893456,4.211307525526251e-07
62,меткий_ADJ,0.22528287768363953,7.4003883562903e-06
63,парикмахерская_ADJ,0.5433840304613113,9.99946697057547e-07
64,шпалерный_ADJ,0.5478931069374084,1.2841584141392002e-06
65,дурной_ADJ,0.26033419370651245,8.955778282878507e-05
66,совестливый_ADJ,0.38300028443336487,2.352215417674507e-06
67,сухопарый_ADJ,0.25653207302093506,1.9056315106168886e-06
68,эмалированный_ADJ,0.3675551414489746,2.57428213608767e-06
69,реакционный_ADJ,0.34756165742874146,9.807019973494177e-06
70,пизанский_ADJ,0.6083882302045822,5.24527415237554e-07
71,таганрогский_ADJ,0.510009840130806,2.6544461295102458e-06
72,неподвижный_ADJ,0.16645210981369019,4.5885456812369384e-05
73,чернышевский_ADJ,0.4993480145931244,1.8094706444809544e-06
74,средоточие_ADJ,0.6445651203393936,3.60618502032208e-07
75,рачий_ADJ,0.5247001945972443,5.351140327462582e-07
76,аляповатый_ADJ,0.4119446575641632,1.163999425151864e-06
77,здравомыслящий_ADJ,0.3557794392108917,1.6715795707151612e-06
78,вулканический_ADJ,0.2668111026287079,4.732583264755705e-06
79,рассеянный_ADJ,0.367258757352829,7.679377829236956e-06
80,неукоснительно_ADJ,0.5697527229785919,3.3258661286541286e-07
81,программный_ADJ,0.4899081289768219,1.8611898955327382e-05
82,во-вторых_ADJ,0.6496943086385727,3.8272512039085723e-07
83,чердынский_ADJ,0.699558213353157,7.241638585021891e-07
84,исхудалый_ADJ,0.29026833176612854,3.7229332925201854e-06
85,неукротимый_ADJ,0.23631083965301514,4.379228712903441e-06
