,word,norm_mean_diff_vec
0,беззаботный_ADJ,0.25204235315322876
1,безликий_ADJ,0.48161810636520386
2,безупречный_ADJ,0.33023837208747864
3,бесподобный_ADJ,0.41768303513526917
4,важный_ADJ,0.15080910921096802
5,вкусный_ADJ,0.16144776344299316
6,вонючий_ADJ,0.22496461868286133
7,воспитанный_ADJ,0.23090922832489014
8,вредный_ADJ,0.21369332075119019
9,выгодный_ADJ,0.1871730387210846
10,высокий_ADJ,0.18469125032424927
11,глупый_ADJ,0.19029033184051514
12,гнусный_ADJ,0.25788843631744385
13,голубой_ADJ,0.2181500792503357
14,грамотный_ADJ,0.3024657964706421
15,грязный_ADJ,0.19237375259399414
16,добрый_ADJ,0.18466633558273315
17,дорогой_ADJ,0.23611000180244446
18,достойный_ADJ,0.20888441801071167
19,дурацкий_ADJ,0.307609885931015
20,душевный_ADJ,0.20542526245117188
21,дьявольский_ADJ,0.28303098678588867
22,жестокий_ADJ,0.183740496635437
23,завидный_ADJ,0.37494292855262756
24,здоровый_ADJ,0.22952893376350403
25,зеленый_ADJ,0.25085142254829407
26,злостный_ADJ,0.3201776146888733
27,золотой_ADJ,0.24159735441207886
28,идеальный_ADJ,0.27170389890670776
29,известный_ADJ,0.14881306886672974
30,интеллигентный_ADJ,0.27967530488967896
31,интересный_ADJ,0.14465957880020142
32,искусный_ADJ,0.22868239879608154
33,каменный_ADJ,0.2411961555480957
34,качественный_ADJ,0.3751731514930725
35,классный_ADJ,0.4274894595146179
36,короткий_ADJ,0.1960795819759369
37,кошмарный_ADJ,0.30891016125679016
38,красивый_ADJ,0.13753792643547058
39,красный_ADJ,0.34194236993789673
40,критический_ADJ,0.2514685094356537
41,крупный_ADJ,0.21871712803840637
42,крутой_ADJ,0.2998999357223511
43,культурный_ADJ,0.28596213459968567
44,легендарный_ADJ,0.3128712475299835
45,легкий_ADJ,0.15368708968162537
46,лишний_ADJ,0.20270124077796936
47,лучший_ADJ,0.19180834293365479
48,любимый_ADJ,0.21830454468727112
49,мелкий_ADJ,0.21407344937324524
50,мягкий_ADJ,0.2184443175792694
51,наблюдательный_ADJ,0.486370712518692
52,надежный_ADJ,0.18864339590072632
53,наибольший_ADJ,0.20922499895095825
54,настоящий_ADJ,0.21966108679771423
55,невыносимый_ADJ,0.21021762490272522
56,негативный_ADJ,0.54180708527565
57,неприятный_ADJ,0.15424445271492004
58,нерадивый_ADJ,0.3794255256652832
59,неслыханный_ADJ,0.2551397681236267
60,несправедливый_ADJ,0.22373166680335999
61,неудачный_ADJ,0.24073949456214905
62,неуместный_ADJ,0.23045316338539124
63,низкий_ADJ,0.24642008543014526
64,нищенский_ADJ,0.32173481583595276
65,нормальный_ADJ,0.2196153700351715
66,нудный_ADJ,0.32123270630836487
67,обаятельный_ADJ,0.3011142313480377
68,опасный_ADJ,0.18939030170440674
69,острый_ADJ,0.20486795902252197
70,ответственный_ADJ,0.2813206911087036
71,открытый_ADJ,0.21391257643699646
72,отличный_ADJ,0.22856000065803528
73,печальный_ADJ,0.1913924515247345
74,пикантный_ADJ,0.25713080167770386
75,пламенный_ADJ,0.31301364302635193
76,плохой_ADJ,0.18998584151268005
77,полезный_ADJ,0.21042004227638245
78,положительный_ADJ,0.3772795796394348
79,поразительный_ADJ,0.2406337559223175
80,последний_ADJ,0.15501153469085693
81,постный_ADJ,0.273589164018631
82,правый_ADJ,0.23380759358406067
83,праздничный_ADJ,0.22912275791168213
84,превосходный_ADJ,0.2756198048591614
85,прекрасный_ADJ,0.1797715127468109
86,привлекательный_ADJ,0.2341180443763733
87,провинциальный_ADJ,0.2472454309463501
88,проклятый_ADJ,0.2853070795536041
89,простой_ADJ,0.18245109915733337
90,противный_ADJ,0.357644259929657
91,прохладный_ADJ,0.21485644578933716
92,прямой_ADJ,0.25662654638290405
93,пустой_ADJ,0.206893652677536
94,растительный_ADJ,0.27957913279533386
95,резкий_ADJ,0.2396378219127655
96,резонный_ADJ,0.4447490870952606
97,родной_ADJ,0.23522445559501648
98,свежий_ADJ,0.2140648365020752
99,священный_ADJ,0.2729257047176361
100,семейный_ADJ,0.23560482263565063
101,серый_ADJ,0.19009515643119812
102,сильный_ADJ,0.1399116814136505
103,слабый_ADJ,0.1768055260181427
104,слащавый_ADJ,0.38211965560913086
105,смелый_ADJ,0.22577247023582458
106,соленый_ADJ,0.3284452557563782
107,страшный_ADJ,0.14351269602775574
108,строгий_ADJ,0.17603838443756104
109,сумасшедший_ADJ,0.3061541020870209
110,сухой_ADJ,0.2973997890949249
111,счастливый_ADJ,0.17197108268737793
112,сырой_ADJ,0.2600329518318176
113,теплый_ADJ,0.15666767954826355
114,толстый_ADJ,0.21351245045661926
115,тонкий_ADJ,0.1697770059108734
116,трудный_ADJ,0.11881780624389648
117,тугой_ADJ,0.29248300194740295
118,тяжелый_ADJ,0.17478999495506287
119,ужасный_ADJ,0.184218168258667
120,уместный_ADJ,0.2569847106933594
121,умный_ADJ,0.13836359977722168
122,упрямый_ADJ,0.303633451461792
123,холодный_ADJ,0.22436541318893433
124,хороший_ADJ,0.13330897688865662
125,человеческий_ADJ,0.14722687005996704
126,черный_ADJ,0.18097105622291565
127,чертов_ADJ,0.4404960572719574
128,четкий_ADJ,0.32048922777175903
129,чистый_ADJ,0.1808651089668274
130,чудовищный_ADJ,0.24746721982955933
131,элементарный_ADJ,0.312004029750824
132,эффектный_ADJ,0.2273784577846527
133,яркий_ADJ,0.16684263944625854
