,word,mean_dist,mean_freq
89,неравноправный_ADJ,0.8965847995132208,4.793432317071887e-07
7,трехчасовый_ADJ,0.8932014461606741,7.45073829872485e-07
217,выдержанный_ADJ,0.8877852596342564,3.168613221582891e-07
18,фантасмагорический_ADJ,0.8584528835490346,7.61092692042638e-07
213,сверхсильный_ADJ,0.8457516601774842,3.7891824258776795e-07
80,автобусный_ADJ,0.8434734791517258,5.521386411436949e-06
53,кастильский_ADJ,0.8413411863148212,4.017150619580098e-07
25,попеременный_ADJ,0.8334086867980659,3.3144035501044066e-07
90,испорченный_ADJ,0.8322629183530807,4.80798166505517e-07
127,зачетный_ADJ,0.8259325213730335,1.2978029721683568e-06
54,сметный_ADJ,0.82170744612813,1.886960569346808e-06
146,умопостигаемый_ADJ,0.8157570688053966,3.286239111693737e-07
43,многонациональный_ADJ,0.8140329848974943,4.333666044224105e-06
47,убойный_ADJ,0.8119344289880246,1.9728301719425938e-06
49,смирительный_ADJ,0.8110514618456364,1.5611774681493308e-06
6,подворный_ADJ,0.8053809981793165,7.49480579407925e-07
198,послезавтрашний_ADJ,0.8040283005684614,3.7311004386372864e-07
114,жалованный_ADJ,0.8032045923173428,6.820721112662951e-07
209,диаметральный_ADJ,0.8010420370846987,2.7579447587989543e-07
234,питерский_ADJ,0.8006845563650131,1.2554433935252718e-05
125,спасенный_ADJ,0.7993534579873085,8.62495289462526e-07
9,определительный_ADJ,0.7992261376930401,1.3878264127847269e-06
131,заемный_ADJ,0.79770777374506,3.610303642766332e-06
10,рукодельный_ADJ,0.7933300361037254,6.369266795447733e-07
113,мотивированный_ADJ,0.7851160727441311,1.4255399357955715e-06
148,спинномозговой_ADJ,0.7818324817344546,7.001697979750853e-07
115,пошлейший_ADJ,0.7804515399038792,3.4740823387870405e-07
28,заклинательный_ADJ,0.7799680884927511,2.7703713033300133e-07
55,похмельный_ADJ,0.7791531533002853,1.9148899945965776e-06
121,преемственный_ADJ,0.7778894696384668,5.364440456360624e-07
149,сочиненный_ADJ,0.7775554694235325,7.056948742236152e-07
196,текстильный_ADJ,0.7774192551150918,5.1493671636024105e-06
111,осязаемый_ADJ,0.7756492774933577,5.509575838745059e-07
11,стекловидный_ADJ,0.7746264431625605,6.44765318668662e-07
26,маргариновый_ADJ,0.7741434727795422,3.341015691270664e-07
162,патентованный_ADJ,0.7680718936026096,4.2479262712972583e-07
84,холоднокровный_ADJ,0.7667681816965342,2.275002770454338e-07
70,многоразличный_ADJ,0.7638215087354183,1.8404921343457545e-06
59,заматерелый_ADJ,0.7621992789208889,4.941921896938531e-07
203,хлипкий_ADJ,0.7616807259619236,2.1109481342206905e-06
180,одноногий_ADJ,0.759265661239624,1.3418414920122582e-06
206,лоскутный_ADJ,0.757811039686203,2.4183847963740835e-06
145,простудный_ADJ,0.7566073406487703,8.416240699010736e-07
190,многоугольный_ADJ,0.7562984079122543,2.8988773824125924e-07
123,хлопковый_ADJ,0.7546527311205864,1.8924478596344448e-06
108,пониженный_ADJ,0.7540968284010887,2.168799764792991e-06
208,стратиграфический_ADJ,0.7523061856627464,5.188957158924374e-07
85,самаркандский_ADJ,0.752069691196084,9.308243152838415e-07
237,высокоразвитый_ADJ,0.7510463632643223,1.3546326726256997e-06
46,недостоверный_ADJ,0.7506920443847775,1.983657595106911e-06
158,сейсмический_ADJ,0.7501584496349096,3.158513437268188e-06
210,компилятивный_ADJ,0.747716099023819,2.7092751032151483e-07
165,несговорчивый_ADJ,0.7472991794347763,1.2116817432499962e-06
16,фаллический_ADJ,0.7471314035356045,5.625364178507586e-07
2,демократичный_ADJ,0.7470718994736671,2.764793654984593e-06
153,англосаксонский_ADJ,0.7423234982416034,1.1035381579333366e-06
157,редакторский_ADJ,0.7406076323240995,2.768035156829351e-06
238,горшечный_ADJ,0.74025022611022,3.7238168521180125e-07
95,магазинный_ADJ,0.7397194001823664,2.696773209251371e-06
221,синтаксический_ADJ,0.7390984252560884,6.1300354203221765e-06
36,гомеопатический_ADJ,0.737779401242733,9.145527816330632e-06
82,несоразмерный_ADJ,0.7359257051721215,1.091956947283049e-06
130,карнавальный_ADJ,0.735481159761548,3.537263030301451e-06
194,вещевой_ADJ,0.7341582868248224,3.4358705625247527e-06
99,русалочий_ADJ,0.7328813970088959,4.6906588531034944e-07
166,антисептический_ADJ,0.7314991587772965,4.726016496419084e-07
48,некорректный_ADJ,0.7314921654760838,1.558886831800176e-06
167,яшмовый_ADJ,0.7312550693750381,4.839367071200041e-07
232,крестообразный_ADJ,0.7281066332943738,1.0046281250755695e-06
216,бензольный_ADJ,0.7279818579554558,3.0588533075693077e-07
19,извинительный_ADJ,0.7276969812810421,1.5115406532525774e-06
191,скопинский_ADJ,0.7261000722646713,2.952684054323097e-07
22,прозорливый_ADJ,0.725939255207777,3.0648230258257464e-06
68,антиномический_ADJ,0.7236618045717478,4.2605714540582207e-07
58,староверческий_ADJ,0.7230783887207508,4.949787873035792e-07
33,необязательный_ADJ,0.721693117171526,5.2436409069142205e-06
122,амбарный_ADJ,0.7207476571202278,1.9144289619160612e-06
170,несвоевременный_ADJ,0.7193893063813448,3.2350312557624986e-06
182,поршневый_ADJ,0.7142602875828743,4.517953305256552e-07
215,общераспространенный_ADJ,0.7142019458115101,6.268264266953656e-07
17,смачный_ADJ,0.7139838188886642,7.758851935770298e-07
112,стадный_ADJ,0.7123979777097702,1.4015320837589626e-06
202,генеалогический_ADJ,0.7122254085843451,2.0674561261332146e-06
168,вращательный_ADJ,0.7106451313011348,1.4502652289618832e-06
176,моторный_ADJ,0.7102288883179426,7.452005565354423e-06
97,канатный_ADJ,0.7098659090697765,2.5278589887490557e-06
88,дутый_ADJ,0.7083829063922167,1.7319534794969905e-06
140,альтруистический_ADJ,0.7067331112921238,9.82120123820287e-07
161,токарный_ADJ,0.7065225504338741,2.9868434173351817e-06
150,крещеный_ADJ,0.7051056306809187,3.977724371274195e-06
227,теократический_ADJ,0.7048707040958107,9.166928952821432e-07
229,экзаменационный_ADJ,0.7047753445804119,2.4740507568220927e-06
135,талантливейший_ADJ,0.7046854197978973,1.6716480361714128e-06
24,царский_ADJ,0.7041654763743281,0.00012901459385981876
94,числовой_ADJ,0.7034524194896221,2.2282131757492732e-06
169,лотерейный_ADJ,0.7021012622863054,1.4789284860139633e-06
226,евангелический_ADJ,0.6996797909960151,9.1014789391325e-07
96,пористый_ADJ,0.6982803344726562,2.6713842353892638e-06
224,приближенный_ADJ,0.6978928335011005,1.1689222529940086e-06
177,эфирный_ADJ,0.6951309908181429,7.756340232182093e-06
93,тифозный_ADJ,0.6947531886398792,2.217293543944924e-06
63,казенный_ADJ,0.6944805160164833,5.550223487279282e-05
14,шестиэтажный_ADJ,0.6942393966019154,8.948597670690591e-07
42,прилежный_ADJ,0.6940586064010859,4.4196602546060566e-06
137,неприютный_ADJ,0.6917723075021058,7.664308199247253e-07
156,песенный_ADJ,0.6905325651168823,2.8235887985413237e-06
133,бумажный_ADJ,0.6886575911194086,3.338705368317489e-05
189,пищевой_ADJ,0.6881707371212542,1.701027176177766e-05
13,социалистический_ADJ,0.6869463697075844,6.667481388280214e-05
52,отглагольный_ADJ,0.6858759261667728,3.8910644804238267e-07
152,мажорный_ADJ,0.6848578900098801,1.134784902995288e-06
71,физико-химический_ADJ,0.6848453842103481,1.8402698735477157e-06
57,пещерный_ADJ,0.682646993547678,3.88983896000221e-06
193,малоподвижный_ADJ,0.6824225708842278,1.172559167271771e-06
8,туповатый_ADJ,0.6811288967728615,1.4192258852632802e-06
69,разгоряченный_ADJ,0.6810617297887802,4.228597716650274e-07
214,психопатологический_ADJ,0.680978786200285,6.162566971725143e-07
138,седельный_ADJ,0.6803132854402065,7.173712931350191e-07
110,блинный_ADJ,0.6793874949216843,5.418853284589465e-07
171,переговорный_ADJ,0.6786653529852629,3.2810590587448305e-06
12,школьный_ADJ,0.6786046214401722,6.499654857678725e-05
183,цифровой_ADJ,0.678244118578732,1.1266329113234824e-05
27,златокудрый_ADJ,0.6756661832332611,2.8589532289781184e-07
75,древнеримский_ADJ,0.675474189221859,1.222328976390534e-06
186,химический_ADJ,0.6745918393135071,7.577790747031499e-05
72,кахетинский_ADJ,0.6737929433584213,1.0263132792201214e-06
236,суэцкий_ADJ,0.6731538474559784,1.3486092227138943e-06
233,сверкающий_ADJ,0.6680341921746731,1.0025478897108475e-06
37,ощутимый_ADJ,0.6676591169089079,9.08220255090245e-06
86,узкоглазый_ADJ,0.66736800968647,9.384847693785445e-07
120,стоячий_ADJ,0.6666724943788722,4.493277487710783e-06
241,апрельский_ADJ,0.662808473687619,6.4452452557642915e-06
20,обожженный_ADJ,0.6622860450297594,1.5106889327085844e-06
92,каргопольский_ADJ,0.6613650731742382,5.242175499571803e-07
218,ограничительный_ADJ,0.6602517999708652,1.6367697243482773e-06
219,горластый_ADJ,0.6587508022785187,1.6481009943262531e-06
136,холодненький_ADJ,0.6582001335918903,7.603115675832948e-07
211,чистоплотный_ADJ,0.6567504554986954,1.2978454146220568e-06
